,segment,dict_value,dict_frequency
0,a,4124,0.10596639087311784
1,d,2049,0.05264915977182794
2,u,4490,0.11537077958785139
3,b,1401,0.03599876663754561
4,j,456,0.0117169433167172
5,n,2387,0.06133408705483324
6,tɬ,249,0.006398067732154787
7,i,4340,0.11151652191787861
8,χ,852,0.021892183565445294
9,o,1927,0.04951436353358343
10,r,2262,0.05812220566318927
11,sː,326,0.008376586669407472
12,l,1895,0.048692121897322575
13,ʒ,239,0.006141117220823269
14,ɬː,101,0.002595200164448327
15,ts',177,0.004548024050567861
16,e,1466,0.037668944961200476
17,m,848,0.021789403360912687
18,tʃ,358,0.009198828305668328
19,w,350,0.008993267896603114
20,h,817,0.020992856775784982
21,z,285,0.00732308957294825
22,qχ,448,0.011511382907651985
23,t,488,0.012539184952978056
24,hʷ,5,0.00012847525566575877
25,qχ',740,0.0190143378385323
26,ɡ,776,0.019939359679325763
27,ʁ,304,0.007811295544478134
28,ɬ,264,0.006783493499152063
29,k,382,0.00981550953286397
30,p,269,0.006911968754817822
31,ʁʷ,43,0.0011048871987255255
32,ts,62,0.0015930931702554088
33,ʃː,216,0.005550131044760779
34,kʷ,42,0.0010791921475923737
35,tʃ',373,0.009584254072665605
36,ʃ,668,0.017164294156945373
37,s,362,0.009301608510200935
38,t',392,0.010072460044195488
39,k',503,0.012924610719975332
40,tʃː,65,0.001670178323654864
41,ʔ,42,0.0010791921475923737
42,χʷ,32,0.0008222416362608562
43,tɬ',299,0.007682820288812375
44,x,49,0.001259057505524436
45,tsː,48,0.0012333624543912841
46,tʃ'ː,101,0.002595200164448327
47,xʷ,10,0.00025695051133151753
48,ɡʷ,42,0.0010791921475923737
49,kː,63,0.0016187882213885606
50,p',24,0.0006166812271956421
51,ts'ː,207,0.005318875584562413
52,lʷ,2,5.139010226630351e-05
53,tː,3,7.708515339945526e-05
54,k'ː,62,0.0015930931702554088
55,pː,5,0.00012847525566575877
56,sʷ,2,5.139010226630351e-05
57,u1,2,5.139010226630351e-05
58,lь,10,0.00025695051133151753
59,dʷ,18,0.0004625109203967316
60,ʒʷ,24,0.0006166812271956421
61,zʷ,22,0.0005652911249293386
62,qχ'1,7,0.00017986535793206227
63,k'ʷ,17,0.00043681586926357986
64,tʷ,2,5.139010226630351e-05
65,t'ʷ,11,0.0002826455624646693
66,nʷ,1,2.5695051133151756e-05
67,ɢ,2,5.139010226630351e-05
68,xx,1,2.5695051133151756e-05
69,ʃː1,2,5.139010226630351e-05
70,ʃːʷ,6,0.00015417030679891052
71,ʕ,1,2.5695051133151756e-05
