,segment,dict_value,dict_frequency,text_value,text_frequency
0,a,4124,0.10596639087311784,2981,0.07323244730506559
1,d,2049,0.052649159771827936,1972,0.048444946690905516
2,u,4490,0.1153707795878514,3095,0.0760330172456149
3,b,1401,0.035998766637545615,1863,0.04576720876529258
4,j,456,0.0117169433167172,1557,0.03824988945118656
5,n,2387,0.06133408705483324,2091,0.0513683486463912
6,tɬ,249,0.006398067732154787,316,0.007762983343978774
7,i,4340,0.1115165219178786,5387,0.1323392128924483
8,χ,852,0.02189218356544529,584,0.014346779344568369
9,o,1927,0.04951436353358343,3815,0.0937208273964526
10,r,2262,0.05812220566318928,1663,0.04085392816783767
11,sː,326,0.008376586669407472,361,0.008868471478406132
12,l,1895,0.048692121897322575,2335,0.0573625509752862
13,ʒ,239,0.006141117220823269,415,0.010195057239718959
14,ɬː,101,0.002595200164448327,6,0.00014739841792364762
15,ts',177,0.004548024050567861,145,0.003562128433154817
16,e,1466,0.03766894496120048,2631,0.06463420625951947
17,m,848,0.021789403360912687,666,0.016361224389524885
18,tʃ,358,0.009198828305668328,146,0.0035866948361420923
19,w,350,0.008993267896603114,1004,0.024664668599223703
20,h,817,0.020992856775784986,1452,0.035670417137522725
21,z,285,0.00732308957294825,164,0.004028890089913035
22,qχ,448,0.011511382907651984,209,0.005134378224340392
23,t,488,0.012539184952978056,259,0.006362698373704122
24,hʷ,5,0.00012847525566575877,1,2.4566402987274608e-05
25,qχ',740,0.0190143378385323,147,0.003611261239129367
26,ɡ,776,0.019939359679325763,704,0.017294747703041322
27,ʁ,304,0.007811295544478135,438,0.010760084508426276
28,ɬ,264,0.006783493499152063,597,0.01466614258340294
29,k,382,0.00981550953286397,308,0.007566452120080578
30,p,269,0.006911968754817822,75,0.0018424802240455953
31,ʁʷ,43,0.0011048871987255255,3,7.369920896182381e-05
32,ts,62,0.0015930931702554088,19,0.00046676165675821747
33,ʃː,216,0.005550131044760779,157,0.0038569252690021133
34,kʷ,42,0.0010791921475923737,26,0.0006387264776691396
35,tʃ',373,0.009584254072665605,279,0.006854026433449614
36,ʃ,668,0.017164294156945373,487,0.011963838254802732
37,s,362,0.009301608510200936,500,0.012283201493637302
38,t',392,0.010072460044195488,143,0.0035129956271802683
39,k',503,0.01292461071997533,274,0.0067311944185132425
40,tʃː,65,0.001670178323654864,80,0.0019653122389819678
41,ʔ,42,0.0010791921475923737,668,0.016410357195499437
42,χʷ,32,0.0008222416362608562,15,0.00036849604480911904
43,tɬ',299,0.007682820288812375,175,0.004299120522773057
44,x,49,0.001259057505524436,10,0.00024566402987274597
45,tsː,48,0.001233362454391284,21,0.0005158944627327666
46,tʃ'ː,101,0.002595200164448327,5,0.00012283201493637299
47,xʷ,10,0.0002569505113315176,1,2.4566402987274608e-05
48,ɡʷ,42,0.0010791921475923737,4,9.826561194909843e-05
49,kː,63,0.0016187882213885606,140,0.0034392964182184444
50,ts'ː,207,0.005318875584562413,38,0.0009335233135164347
51,k'ː,62,0.0015930931702554088,1,2.4566402987274608e-05
52,dʷ,18,0.00046251092039673166,1,2.4566402987274608e-05
53,k'ʷ,17,0.0004368158692635799,95,0.002333808283791087
54,tʷ,2,5.1390102266303506e-05,3,7.369920896182381e-05
55,ʕ,1,2.569505113315176e-05,12,0.00029479683584729524
