,segment,text_value,text_frequency
0,o,3815,0.09372082739645261
1,χ,584,0.014346779344568369
2,t,259,0.006362698373704122
3,a,2981,0.07323244730506559
4,d,1972,0.048444946690905516
5,ʒ,415,0.01019505723971896
6,i,5387,0.1323392128924483
7,e,2631,0.06463420625951947
8,n,2091,0.0513683486463912
9,w,1004,0.024664668599223703
10,ʃ,487,0.011963838254802732
11,j,1557,0.038249889451186556
12,u,3095,0.0760330172456149
13,ʔ,668,0.016410357195499437
14,qχ,209,0.005134378224340392
15,b,1863,0.04576720876529258
16,l,2335,0.0573625509752862
17,tʃ',279,0.006854026433449614
18,ɬ,597,0.014666142583402939
19,m,666,0.016361224389524885
20,tʃ,146,0.0035866948361420923
21,ʃː,157,0.003856925269002113
22,ʁ,438,0.010760084508426276
23,h,1452,0.035670417137522725
24,r,1663,0.040853928167837665
25,s,500,0.012283201493637302
26,tʷ,3,7.369920896182381e-05
27,ħ,138,0.003390163612243895
28,k,308,0.007566452120080578
29,ɡ,704,0.017294747703041322
30,k',274,0.006731194418513242
31,kʷ,26,0.0006387264776691396
32,z,164,0.004028890089913035
33,tɬ,316,0.0077629833439787745
34,t',143,0.0035129956271802683
35,tɬ',175,0.004299120522773056
36,qχ',147,0.0036112612391293666
37,ts',145,0.0035621284331548175
38,sː,361,0.008868471478406132
39,tʃː,80,0.001965312238981968
40,p,75,0.0018424802240455953
41,tь,3,7.369920896182381e-05
42,kː,140,0.0034392964182184444
43,jo,1,2.4566402987274605e-05
44,f,5,0.000122832014936373
45,o1,1,2.4566402987274605e-05
46,k'ʷ,95,0.002333808283791087
47,χʷ,15,0.00036849604480911904
48,ts'ː,38,0.0009335233135164349
49,i=,1,2.4566402987274605e-05
50,tsː,21,0.0005158944627327666
51,ts,19,0.00046676165675821747
52,ɡʷ,4,9.826561194909842e-05
53,ʁʷ,3,7.369920896182381e-05
54,ɬː,6,0.00014739841792364762
55,w1,1,2.4566402987274605e-05
56,hũ,3,7.369920896182381e-05
57,dʷ,1,2.4566402987274605e-05
58,rʷ,3,7.369920896182381e-05
59,ʕ,12,0.00029479683584729524
60,x,10,0.000245664029872746
61,tʃ'ː,5,0.000122832014936373
62,ii,1,2.4566402987274605e-05
63,a=,1,2.4566402987274605e-05
64,ʃь,1,2.4566402987274605e-05
65,sь,1,2.4566402987274605e-05
66,k'ː,1,2.4566402987274605e-05
67,tʃь,1,2.4566402987274605e-05
68,xʷ,1,2.4566402987274605e-05
69,hʷ,1,2.4566402987274605e-05
70,kː1,1,2.4566402987274605e-05
