,segment,dict_value,dict_frequency
0,a,11358,0.22390884359105784
1,b,2908,0.05732760320151402
2,ɡʷ,34,0.0006702677128099988
3,n,1565,0.030852028545519064
4,h,1790,0.03528762370382053
5,r,3325,0.06554823956156607
6,i,4126,0.08133895832511927
7,l,3753,0.0739857272404684
8,d,1902,0.0374955644048417
9,j,1092,0.021527421834956432
10,ɬː,298,0.005874699365217048
11,t,629,0.012399952686984978
12,aː,323,0.006367543271694988
13,o,792,0.01561329495722115
14,ɡ,275,0.005421282971257343
15,u,2533,0.04993494460434491
16,e,1642,0.03236998777747112
17,w,314,0.0061901194653629305
18,eː,272,0.005362141702479991
19,ts,101,0.001991089382170879
20,qχ',632,0.012459093955762331
21,ʃː,411,0.008102353822497339
22,ʁ,354,0.006978669715727635
23,z,229,0.004514450183337933
24,zʷ,11,0.00021685131885029374
25,tʃ',607,0.01196625004928439
26,χ,275,0.005421282971257343
27,sː,386,0.007609509916019399
28,ts',247,0.004869297796002051
29,tɬ',346,0.006820959665654694
30,m,877,0.017288964239246148
31,k'ʷ,139,0.002740212120017348
32,χː,413,0.008141781335015573
33,ɬ,234,0.0046130189646335215
34,lː,27,0.0005322714189961755
35,qχ,389,0.007668651184796751
36,dʒ,221,0.004356740133264992
37,iː,123,0.0024247920198714663
38,oː,165,0.003252769782754406
39,kʷ,96,0.0018925206008752907
40,qχ'ʷ,73,0.0014391042069155857
41,tʃ,428,0.008437487678902338
42,hʷ,48,0.0009462603004376453
43,s,420,0.008279777628829397
44,mː,6,0.00011828253755470567
45,ã,292,0.005756416827662343
46,p,262,0.005165004139888814
47,ʕ,396,0.007806647478610575
48,ʁʷ,48,0.0009462603004376453
49,k,326,0.006426684540472342
50,tʷ,18,0.000354847612664117
51,t',437,0.008614911485234397
52,k',368,0.007254662303355281
53,ħ,406,0.00800378504120175
54,ʃ,271,0.005342427946220873
55,ʒ,183,0.003607617395418523
56,χʷ,18,0.000354847612664117
57,ʃːʷ,50,0.0009856878129558806
58,ãː,5,9.856878129558806e-05
59,t'ʷ,41,0.0008082640066238221
60,x,112,0.002207940701021173
61,uː,21,0.00041398888144146984
62,ĩ,121,0.002385364507353231
63,ũ,61,0.0012025391318061743
64,sːʷ,14,0.0002759925876276466
65,sː',290,0.0057169893151441074
66,s',4,7.885502503647044e-05
67,χːʷ,61,0.0012025391318061743
68,qχʷ,70,0.0013799629381382329
69,xʷ,33,0.0006505539565508813
70,tʃʷ,45,0.0008871190316602926
71,tɬ'ʷ,55,0.0010842565942514686
72,lʷ,19,0.0003745613689232346
73,ẽ,18,0.000354847612664117
74,bː,7,0.0001379962938138233
75,dʷ,22,0.0004337026377005875
76,tʃ'ʷ,50,0.0009856878129558806
77,ʔ,23,0.0004534163939597051
78,kː,18,0.000354847612664117
79,tː',1,1.971375625911761e-05
80,ʃː',141,0.0027796396325355834
81,rʷ,18,0.000354847612664117
82,õː,2,3.942751251823522e-05
83,õ,3,5.9141268777352834e-05
84,qχː',11,0.00021685131885029374
85,kː',8,0.0001577100500729409
86,kː'ʷ,3,5.9141268777352834e-05
87,kʲ',49,0.000965974056696763
88,tsː',16,0.0003154201001458818
89,nː,16,0.0003154201001458818
90,sʷ,4,7.885502503647044e-05
91,nʷ,6,0.00011828253755470567
92,ʒʷ,21,0.00041398888144146984
93,dː,8,0.0001577100500729409
94,tʃː',1,1.971375625911761e-05
95,ʃː'ʷ,18,0.000354847612664117
96,"w,",1,1.971375625911761e-05
97,sː'ʷ,16,0.0003154201001458818
98,rː,5,9.856878129558806e-05
99,б,1,1.971375625911761e-05
100,ts'ʷ,6,0.00011828253755470567
101,kʲ,10,0.00019713756259117613
102,ẽː,4,7.885502503647044e-05
103,zː,2,3.942751251823522e-05
104,tʃː,1,1.971375625911761e-05
