,segment,dict_value,dict_frequency,text_value,text_frequency
0,a,11358,0.22390884359105784,5309,0.16647329967702487
1,b,2908,0.057327603201514025,2377,0.0745351353046314
2,n,1565,0.030852028545519064,1026,0.032172086168511485
3,h,1790,0.035287623703820534,1053,0.03301872001505127
4,r,3325,0.06554823956156608,1914,0.0600169326769308
5,i,4126,0.08133895832511928,3049,0.09560691104073248
6,l,3753,0.0739857272404684,1211,0.03797309585776552
7,d,1902,0.0374955644048417,704,0.022075193628296384
8,j,1092,0.021527421834956432,476,0.01492584114640494
9,ɬː,298,0.005874699365217047,393,0.012323225988523407
10,t,629,0.012399952686984978,394,0.012354582797654513
11,aː,323,0.006367543271694988,603,0.018908155906054998
12,o,792,0.01561329495722115,1314,0.0412028471982691
13,u,2533,0.04993494460434491,1712,0.053682857232448034
14,e,1642,0.03236998777747112,1829,0.057351603900787064
15,w,314,0.00619011946536293,837,0.02624564924273306
16,eː,272,0.005362141702479991,413,0.012950362171145464
17,ʃː,411,0.008102353822497339,262,0.008215483992348938
18,ʁ,354,0.006978669715727635,384,0.012041014706343485
19,z,229,0.004514450183337933,142,0.0044526668966166005
20,tʃ',607,0.01196625004928439,375,0.011758803424163557
21,χ,275,0.005421282971257343,331,0.010379103822395031
22,sː,386,0.007609509916019399,209,0.006553573108400489
23,tɬ',346,0.006820959665654693,248,0.007776488664513499
24,m,877,0.017288964239246148,558,0.017497099495155374
25,k'ʷ,139,0.002740212120017348,451,0.014141920918127372
26,χː,413,0.008141781335015573,46,0.0014424132200307298
27,ɬ,234,0.0046130189646335215,549,0.017214888212975447
28,dʒ,221,0.004356740133264992,129,0.004045028377912264
29,iː,123,0.0024247920198714663,56,0.001755981311341758
30,oː,165,0.003252769782754406,276,0.00865447932018438
31,kʷ,96,0.0018925206008752907,29,0.0009093474648019819
32,tʃ,428,0.008437487678902338,197,0.0061772913988272565
33,hʷ,48,0.0009462603004376453,16,0.0005017089460976451
34,s,420,0.008279777628829397,345,0.010818099150230472
35,ã,292,0.005756416827662343,53,0.0016619108839484493
36,p,262,0.005165004139888814,100,0.003135680913110282
37,ʕ,396,0.007806647478610575,145,0.0045467373240099095
38,ʁʷ,48,0.0009462603004376453,12,0.00037628170957323373
39,k,326,0.0064266845404723424,255,0.007995986328431218
40,tʷ,18,0.000354847612664117,4,0.00012542723652441128
41,t',437,0.008614911485234397,103,0.0032297513405035905
42,k',368,0.007254662303355281,438,0.013734282399423037
43,ħ,406,0.00800378504120175,97,0.003041610485716973
44,ʃ,271,0.005342427946220873,326,0.01022231977673952
45,ʒ,183,0.0036076173954185226,52,0.0016305540748173465
46,χʷ,18,0.000354847612664117,7,0.0002194976639177197
47,ʃːʷ,50,0.0009856878129558806,45,0.0014110564108996268
48,ãː,5,9.856878129558806e-05,32,0.0010034178921952902
49,x,112,0.0022079407010211732,5,0.0001567840456555141
50,uː,21,0.0004139888814414698,10,0.0003135680913110282
51,ĩ,121,0.0023853645073532307,8,0.00025085447304882256
52,ũ,61,0.0012025391318061743,1,3.135680913110282e-05
53,sːʷ,14,0.0002759925876276466,17,0.0005330657552287478
54,s',4,7.885502503647043e-05,77,0.002414474303094917
55,χːʷ,61,0.0012025391318061743,1,3.135680913110282e-05
56,tʃʷ,45,0.0008871190316602926,1,3.135680913110282e-05
57,dʷ,22,0.0004337026377005875,4,0.00012542723652441128
58,tʃ'ʷ,50,0.0009856878129558806,12,0.00037628170957323373
59,ʔ,23,0.0004534163939597051,21,0.0006584929917531593
60,rʷ,18,0.000354847612664117,5,0.0001567840456555141
61,õː,2,3.9427512518235216e-05,1,3.135680913110282e-05
62,sʷ,4,7.885502503647043e-05,6,0.00018814085478661687
63,nʷ,6,0.0001182825375547057,2,6.271361826220564e-05
64,ʒʷ,21,0.0004139888814414698,3,9.407042739330846e-05
65,ẽː,4,7.885502503647043e-05,34,0.0010661315104574956
