,segment,text_value,text_frequency
0,k'ʷ,451,0.014141920918127372
1,a,5309,0.16647329967702487
2,n,1026,0.03217208616851149
3,ɬː,393,0.012323225988523407
4,i,3049,0.09560691104073249
5,s,345,0.010818099150230473
6,t,394,0.012354582797654511
7,o,1314,0.0412028471982691
8,r,1914,0.0600169326769308
9,j,476,0.014925841146404942
10,h,1053,0.03301872001505127
11,c',99,0.003104324103979179
12,l,1211,0.03797309585776552
13,ɬ,549,0.017214888212975447
14,b,2377,0.0745351353046314
15,uː,10,0.0003135680913110282
16,w,837,0.02624564924273306
17,e,1829,0.05735160390078706
18,k,255,0.007995986328431218
19,u,1712,0.05368285723244803
20,k',438,0.013734282399423035
21,χ,331,0.010379103822395033
22,m,558,0.017497099495155374
23,sː,209,0.006553573108400489
24,d,704,0.022075193628296384
25,tʃ',375,0.011758803424163557
26,dʒ,129,0.004045028377912264
27,p,100,0.003135680913110282
28,ã,53,0.0016619108839484493
29,ʃ,326,0.010222319776739519
30,tʃ,197,0.006177291398827256
31,tɬ',248,0.007776488664513499
32,q',273,0.008560408892791069
33,ʃː,262,0.008215483992348938
34,ʕ,145,0.004546737324009909
35,eː,413,0.012950362171145464
36,oː,276,0.008654479320184379
37,ʃːʷ,45,0.0014110564108996268
38,t',103,0.0032297513405035905
39,aː,603,0.018908155906055
40,ʒ,52,0.0016305540748173465
41,ħ,97,0.0030416104857169733
42,c,117,0.00366874666833903
43,kʷ,29,0.0009093474648019818
44,s',77,0.002414474303094917
45,g,153,0.004797591797058731
46,q,69,0.0021636198300460947
47,χː,46,0.0014424132200307298
48,iː,56,0.001755981311341758
49,ũ,1,3.135680913110282e-05
50,',41,0.0012856291743752156
51,ʔ,21,0.0006584929917531592
52,ʁ,384,0.012041014706343483
53,z,142,0.0044526668966166005
54,ãː,32,0.0010034178921952902
55,hʷ,16,0.0005017089460976451
56,tʃ'ʷ,12,0.00037628170957323384
57,χʷ,7,0.00021949766391771974
58,ʃ',30,0.0009407042739330845
59,tʷ,4,0.00012542723652441128
60,ẽː,34,0.0010661315104574958
61,dʷ,4,0.00012542723652441128
62,tʃʷ,1,3.135680913110282e-05
63,sːʷ,17,0.0005330657552287479
64,ĩ,8,0.00025085447304882256
65,rʷ,5,0.0001567840456555141
66,l',1,3.135680913110282e-05
67,ĩː,1,3.135680913110282e-05
68,f,11,0.000344924900442131
69,x,5,0.0001567840456555141
70,ʁʷ,12,0.00037628170957323384
71,sʷ,6,0.00018814085478661692
72,ʒʷ,3,9.407042739330846e-05
73,nʷ,2,6.271361826220564e-05
74,õː,1,3.135680913110282e-05
75,tsː,1,3.135680913110282e-05
76,ũː,1,3.135680913110282e-05
77,χːʷ,1,3.135680913110282e-05
