,segment,dict_value,dict_frequency,text_value,text_frequency
0,χː,783,0.006963528187615058,275,0.0034834378364684273
1,ã,96,0.0008537659080600838,175,0.0022167331686617268
2,h,2088,0.018569408500306826,3090,0.039141174235227054
3,a,21243,0.1889223873429204,15599,0.19759326113116726
4,j,2773,0.024661383990110544,1338,0.01694850845525366
5,i,13814,0.1228533568118958,9824,0.1244410665653303
6,r,8015,0.07128055992814136,2859,0.03621508645259358
7,b,5727,0.05093247245270937,3739,0.047362087529292544
8,ʁ,1240,0.01102780964577608,746,0.009449616821837991
9,u,7242,0.06440596568928257,7377,0.09344480334410032
10,χ,1589,0.014131604457369513,1334,0.01689784026854139
11,w,1218,0.010832154958512313,1782,0.022572677180315408
12,tʃ',1074,0.009551506096422187,913,0.011565013617075178
13,o,1778,0.0158124560888628,1140,0.01444043321299639
14,e,3641,0.0323808507421538,3197,0.04049654822978023
15,d,3937,0.035013295625339065,4333,0.05488631325606435
16,l,3082,0.02740944300667894,3102,0.03929317879536386
17,n,4250,0.03779692822140996,2491,0.031553613275064916
18,ɬ,1644,0.014620741175528938,898,0.011375007916904174
19,ɡ,992,0.008822247716620865,1022,0.012945721704984484
20,ɬː,391,0.0034773173963697163,509,0.006447526759136108
21,m,2786,0.024776998123493682,1589,0.020127937171448475
22,z,853,0.007586065828908869,327,0.0041421242637279115
23,kʷ,276,0.002454576985672741,147,0.0018620558616758503
24,s,1425,0.012673087697766868,642,0.008132243967319019
25,tʃ,1005,0.008937861850004001,374,0.0047374754575970615
26,k,1901,0.016906343658564783,560,0.007093546139717525
27,qχ'ʷ,181,0.0016097044724882829,39,0.0004940148204446134
28,t',834,0.007417091326271978,404,0.005117486857939071
29,t,2099,0.018667235843938708,1022,0.012945721704984484
30,qχ,985,0.008759993952491484,431,0.005459497118246881
31,ʒ,461,0.004099855037663527,77,0.0009753625942111596
32,ʃː,597,0.005309356740748646,677,0.008575590601051364
33,tɬ,307,0.002730272226817143,376,0.004762809550953195
34,ũ,38,0.0003379490052737832,31,0.0003926784470200773
35,sː,883,0.007852867675177646,349,0.004420799290645386
36,χʷ,161,0.0014318365749757655,45,0.0005700171005130154
37,tʃː,81,0.0007203649849256957,19,0.00024067388688327315
38,k'ʷ,289,0.002570191119055877,198,0.002508075242257268
39,tsː,327,0.0029081401243296607,247,0.003128760529482551
40,qχ',1254,0.011152317174034844,435,0.005510165304959149
41,kː,215,0.0019120798982595626,227,0.002875419595921211
42,χ',693,0.00616312264880873,209,0.002647412755716005
43,tɬ',730,0.006492178259206886,581,0.0073595541199569315
44,qχʷ,100,0.0008893394875625873,19,0.00024067388688327315
45,xʷ,50,0.0004446697437812936,25,0.0003166761669516752
46,tʃʷ,24,0.0002134414770150209,1,1.2667046678067008e-05
47,k',882,0.00784397428030202,997,0.012629045538032808
48,ts',497,0.004420017253186059,343,0.004344797010576985
49,ʔ,218,0.0019387600828864398,548,0.006941541579580721
50,ʃ,984,0.00875110055761586,684,0.008664259927797834
51,ʁʷ,174,0.0015474507083589018,188,0.0023814047754765976
52,kː',256,0.0022767090881602235,112,0.001418709227943505
53,χːʷ,58,0.0005158169027863006,15,0.00019000570017100514
54,tʃː',181,0.0016097044724882829,113,0.001431376274621572
55,ʕ,603,0.0053627171100024025,170,0.002153397935271392
56,ɡʷ,93,0.0008270857234332061,29,0.00036734435366394326
57,ts,326,0.0028992467294540344,328,0.004154791310405979
58,x,140,0.0012450752825876221,44,0.0005573500538349483
59,tʃ'ʷ,28,0.00024901505651752444,3,3.800114003420103e-05
60,p,1064,0.009462572147665929,158,0.002001393375134587
61,tsː',531,0.004722392678957338,213,0.002698080942428273
62,dʷ,20,0.00017786789751251744,1,1.2667046678067008e-05
63,ĩ,44,0.0003913093745275384,89,0.001127367154347964
64,dʒ,113,0.0010049536209457237,23,0.0002913420735955412
65,kː'ʷ,49,0.00043577634890566784,66,0.0008360250807524224
66,nʷ,7,6.225376412938111e-05,1,1.2667046678067008e-05
67,lʷ,2,1.7786789751251746e-05,1,1.2667046678067008e-05
68,tɬ'ʷ,44,0.0003913093745275384,2,2.5334093356134016e-05
69,ẽ,14,0.00012450752825876222,4,5.066818671226803e-05
