,segment,text_value,text_frequency
0,χ,1334,0.01689784026854139
1,a,15599,0.19759326113116726
2,n,2491,0.031553613275064916
3,i,9824,0.1244410665653303
4,l,3102,0.03929317879536386
5,w,1782,0.022572677180315408
6,ʃ,684,0.008664259927797834
7,u,7377,0.09344480334410032
8,k',997,0.012629045538032808
9,d,4333,0.05488631325606435
10,o,1140,0.01444043321299639
11,tʃ',913,0.011565013617075178
12,ts,328,0.004154791310405979
13,e,3197,0.04049654822978023
14,h,3090,0.039141174235227054
15,b,3739,0.047362087529292544
16,ʃː,677,0.008575590601051364
17,qχ',435,0.005510165304959149
18,sː,349,0.004420799290645386
19,ʔ,548,0.006941541579580721
20,tʃ,374,0.0047374754575970615
21,ɬ,898,0.011375007916904174
22,r,2859,0.03621508645259358
23,ʒ,77,0.0009753625942111597
24,ʁʷ,188,0.0023814047754765976
25,ɬː,509,0.006447526759136108
26,m,1589,0.020127937171448475
27,s,642,0.008132243967319019
28,χ',209,0.002647412755716005
29,k,560,0.007093546139717525
30,ʁ,746,0.00944961682183799
31,qχ,431,0.005459497118246881
32,tʃː',113,0.001431376274621572
33,k'ʷ,198,0.002508075242257268
34,kʷ,147,0.0018620558616758503
35,ã,175,0.0022167331686617263
36,j,1338,0.01694850845525366
37,ɡ,1022,0.012945721704984483
38,t,1022,0.012945721704984483
39,kː,227,0.002875419595921211
40,t',404,0.005117486857939071
41,ts',343,0.004344797010576984
42,tɬ',581,0.007359554119956932
43,tsː',213,0.002698080942428273
44,z,327,0.0041421242637279115
45,χː,275,0.0034834378364684273
46,tɬ,376,0.004762809550953195
47,tsː,247,0.003128760529482551
48,kː',112,0.001418709227943505
49,p,158,0.002001393375134587
50,χʷ,45,0.0005700171005130154
51,kː'ʷ,66,0.0008360250807524225
52,dʒ,23,0.0002913420735955412
53,x,44,0.0005573500538349484
54,ʕ,170,0.0021533979352713916
55,ĩ,89,0.0011273671543479639
56,qχʷ,19,0.00024067388688327315
57,tʃː,19,0.00024067388688327315
58,qχ'ʷ,39,0.0004940148204446134
59,χːʷ,15,0.00019000570017100514
60,ɡʷ,29,0.00036734435366394326
61,ũ,31,0.0003926784470200773
62,jю,1,1.2667046678067008e-05
63,xʷ,25,0.0003166761669516752
64,aю,7,8.866932674646906e-05
65,õ,2,2.5334093356134016e-05
66,tʃ'ʷ,3,3.800114003420103e-05
67,n',3,3.800114003420103e-05
68,ẽ,4,5.066818671226803e-05
69,ь,1,1.2667046678067008e-05
70,lʷ,1,1.2667046678067008e-05
71,ю,1,1.2667046678067008e-05
72,uю,2,2.5334093356134016e-05
73,nʷ,1,1.2667046678067008e-05
74,tɬ'ʷ,2,2.5334093356134016e-05
75,tʃʷ,1,1.2667046678067008e-05
76,iю,1,1.2667046678067008e-05
77,dʷ,1,1.2667046678067008e-05
78,wь,1,1.2667046678067008e-05
