работает?,ru,Zilo_201609_APM1949M_shortstories.eaf
круглые джидия просто,ru,Zilo_201704_MPA1994F_chudu.eaf
в ряд ставил лопатой вспахивать заставлял,ru,Zilo_201708_incomplete111933F_6.eaf
он был уполномочный у нас,ru,Zilo_201708_incomplete111933F_6.eaf
маленькие тогда мы такие (показывает рукой рост),ru,Zilo_201708_incomplete111933F_6.eaf
лопатой заставял вспахивать,ru,Zilo_201708_incomplete111933F_6.eaf
"""глубоко копайте, девочки""",ru,Zilo_201708_incomplete111933F_6.eaf
тогда оттуда везде до мая пахали это,ru,Zilo_201708_incomplete111933F_6.eaf
на гьарч1о все земли,ru,Zilo_201708_incomplete111933F_6.eaf
"мужики сахой [i.e.вспахивали], этого плуга не было ",ru,Zilo_201708_incomplete111933F_6.eaf
сахой вспахивали это приходили до мая [имеется в виду до первомайских праздников],ru,Zilo_201708_incomplete111933F_6.eaf
в мае передавали [быков] вспахать присуадемные участки (мигъи),ru,Zilo_201708_incomplete111933F_6.eaf
эти приусадемные участки вспахать,ru,Zilo_201708_incomplete111933F_6.eaf
в селе тому кто оставался молодеж на маёвку (майский праздник) в Ботлих уходили,ru,Zilo_201708_incomplete111933F_6.eaf
"распределяли везде по всему саду [начинали с одного края, потом дальше]",ru,Zilo_201708_incomplete111933F_6.eaf
скапывали деревья делали ямки [вокруг деревьев],ru,Zilo_201708_incomplete111933F_6.eaf
он сын Умара бригадир был старый дедушка [по ошибке говорит бабушка] был,ru,Zilo_201708_incomplete111933F_6.eaf
он ямки делать вот так под деревями [показывал],ru,Zilo_201708_incomplete111933F_6.eaf
"каждой давал лопату, каждой давал тапку",ru,Zilo_201708_incomplete111933F_6.eaf
"и девочкам, и мальчикам везде все",ru,Zilo_201708_incomplete111933F_6.eaf
"по всем пастбищам [имеется в виду огородам] проходя везде, приходили сюда  [успевали везде и возвращались]   ",ru,Zilo_201708_incomplete111933F_6.eaf
растут абрикосы здесь,ru,Zilo_201708_incomplete111933F_6.eaf
сюда таскали туда таскали сушили курагу.,ru,Zilo_201708_incomplete111933F_6.eaf
косточки собирали,ru,Zilo_201708_incomplete111933F_6.eaf
целый день [=на целый день] три корзины высыпивали сюда одной мне,ru,Zilo_201708_incomplete111933F_6.eaf
три корзины высыпивали и вам,ru,Zilo_201708_incomplete111933F_6.eaf
резали абрикосы сушили. Их обединного времени (1) после надев [на спине] в корзины туда в село  относили тогда отсюда курагу,ru,Zilo_201708_incomplete111933F_6.eaf
сушить на склад высыпивали [относили на склад для дальнешей сушки],ru,Zilo_201708_incomplete111933F_6.eaf
они ведь колхозные,ru,Zilo_201708_incomplete111933F_6.eaf
"старые женщины, женщины",ru,Zilo_201708_incomplete111933F_6.eaf
мужики косой косили распределяли доли,ru,Zilo_201708_incomplete111933F_6.eaf
по пятдесят сотков давали сейчас (=тогда),ru,Zilo_201708_incomplete111933F_6.eaf
за минуту косили это косы [= быстро косили косы],ru,Zilo_201708_incomplete111933F_6.eaf
И то Шамсу выигрывал у всех,ru,Zilo_201708_incomplete111933F_6.eaf
у бабушек и молодых людей,ru,Zilo_201708_incomplete111933F_6.eaf
снизу вверх вот так вот так (показывает) по серпентинам каждый серпентин проходя шли туда. А там....,ru,Zilo_201708_incomplete111933F_6.eaf
"непонятно почему ""нет""",ru,Zilo_201708_incomplete111933F_6.eaf
маленькое окошко/дырку тогда вот такой дырку для той сены делали,ru,Zilo_201708_incomplete111933F_6.eaf
воды забивал...бил вот так,ru,Zilo_201708_incomplete111933F_6.eaf
дай Аллах простит его грехи Пайзудин клин забивал чтобы воду набрать,ru,Zilo_201708_incomplete111933F_6.eaf
этот не видно чтобы набрать воду,ru,Zilo_201708_incomplete111933F_6.eaf
много идёт ветер (=сильный ветер),ru,Zilo_201708_incomplete111933F_6.eaf
с гор [до таго сильный] не на нашем языке [=непонятный],ru,Zilo_201708_incomplete111933F_6.eaf
"О Аллах, О Аллах, родной Аллах вседуший ты пожалей нас (гьегев гурх1ун ищиъо= он пожалел нас)",ru,Zilo_201708_incomplete111933F_6.eaf
"О родной Аллах, о родные Ангелы, твоя милось пусть будет к нам, Аллах      ",ru,Zilo_201708_incomplete111933F_6.eaf
"ой, великий Аллах тогда",ru,Zilo_201708_incomplete111933F_6.eaf
"Можно про... можно про курзе, и про хинкал тоже можно.",ru,Zilo_201808_MSG1968F_khinkal.eaf
"М, понятно",ru,Zilo_201808_MSG1968F_sourcream.eaf
"гьеб-а босон, это же рассказали",ru,Zilo_201907_incomplete5-F.incomplete6-F_apricots.eaf
